north_korea	[XXX]:is:adjacent:to:[YYY]	south_korea	1
netherlands	[XXX]:is:adjacent:to:[YYY]	belgium	1
argentina	[XXX]:is:located:in:[YYY]	south_america	1
ivory_coast	[XXX]:is:located:in:[YYY]	western_africa	1
bahamas	[XXX]:is:located:in:[YYY]	americas	1
guinea-bissau	[XXX]:is:adjacent:to:[YYY]	guinea	1
cameroon	[XXX]:is:adjacent:to:[YYY]	nigeria	1
são_tomé_and_príncipe	[XXX]:is:located:in:[YYY]	middle_africa	1
niger	[XXX]:is:adjacent:to:[YYY]	libya	1
albania	[XXX]:is:adjacent:to:[YYY]	greece	1
greenland	[XXX]:is:located:in:[YYY]	northern_america	1
andorra	[XXX]:is:located:in:[YYY]	southern_europe	1
china	[XXX]:is:adjacent:to:[YYY]	russia	1
curaçao	[XXX]:is:located:in:[YYY]	caribbean	1
angola	[XXX]:is:adjacent:to:[YYY]	dr_congo	1
slovenia	[XXX]:is:located:in:[YYY]	southern_europe	1
kenya	[XXX]:is:adjacent:to:[YYY]	uganda	1
zimbabwe	[XXX]:is:adjacent:to:[YYY]	zambia	1
portugal	[XXX]:is:located:in:[YYY]	southern_europe	1
ivory_coast	[XXX]:is:adjacent:to:[YYY]	liberia	1
cyprus	[XXX]:is:located:in:[YYY]	eastern_europe	1
equatorial_guinea	[XXX]:is:adjacent:to:[YYY]	cameroon	1
azerbaijan	[XXX]:is:adjacent:to:[YYY]	russia	1
myanmar	[XXX]:is:adjacent:to:[YYY]	india	1
serbia	[XXX]:is:adjacent:to:[YYY]	bosnia_and_herzegovina	1
san_marino	[XXX]:is:located:in:[YYY]	southern_europe	1
mayotte	[XXX]:is:located:in:[YYY]	eastern_africa	1
zambia	[XXX]:is:adjacent:to:[YYY]	malawi	1
bermuda	[XXX]:is:located:in:[YYY]	americas	1
bulgaria	[XXX]:is:adjacent:to:[YYY]	macedonia	1
mexico	[XXX]:is:adjacent:to:[YYY]	belize	1
peru	[XXX]:is:located:in:[YYY]	south_america	1
ethiopia	[XXX]:is:located:in:[YYY]	eastern_africa	1
central_african_republic	[XXX]:is:adjacent:to:[YYY]	cameroon	1
åland_islands	[XXX]:is:located:in:[YYY]	europe	1
ireland	[XXX]:is:located:in:[YYY]	northern_europe	1
liberia	[XXX]:is:adjacent:to:[YYY]	ivory_coast	1
czechia	[XXX]:is:adjacent:to:[YYY]	poland	1
slovenia	[XXX]:is:adjacent:to:[YYY]	austria	1
kenya	[XXX]:is:adjacent:to:[YYY]	ethiopia	1
tajikistan	[XXX]:is:located:in:[YYY]	central_asia	1
réunion	[XXX]:is:located:in:[YYY]	africa	1
norfolk_island	[XXX]:is:located:in:[YYY]	australia_and_new_zealand	1
serbia	[XXX]:is:adjacent:to:[YYY]	hungary	1
turkey	[XXX]:is:adjacent:to:[YYY]	azerbaijan	1
colombia	[XXX]:is:adjacent:to:[YYY]	ecuador	1
nicaragua	[XXX]:is:adjacent:to:[YYY]	costa_rica	1
singapore	[XXX]:is:located:in:[YYY]	south-eastern_asia	1
belize	[XXX]:is:adjacent:to:[YYY]	guatemala	1
